r,n,m,i,bs,jri
0.2,30,30,1,0.3,0.006262386048355133
0.2,30,30,2,0.4,0.007609988109393579
0.2,30,30,3,0.23333333333333334,0.003012286959968292
0.2,30,30,4,0.23333333333333334,0.003250099088386841
0.2,30,30,5,0.23333333333333334,0.005707491082045184
0.2,30,30,6,0.26666666666666666,0.005945303210463734
0.2,30,30,7,0.36666666666666664,0.004835513277843837
0.2,30,30,8,0.26666666666666666,0.006738010305192232
0.2,30,30,9,0.26666666666666666,0.0058660325009908835
0.2,30,30,10,0.3333333333333333,0.008402695204122077
0.2,30,30,11,0.26666666666666666,0.003012286959968292
0.2,30,30,12,0.23333333333333334,0.004042806183115339
0.2,30,30,13,0.26666666666666666,0.003250099088386841
0.2,30,30,14,0.3,0.0047562425683709865
0.2,30,30,15,0.3,0.0019817677368212444
0.2,30,30,16,0.2,0.004597701149425287
0.2,30,30,17,0.26666666666666666,0.0058660325009908835
0.2,30,30,18,0.26666666666666666,0.005390408244153785
0.2,30,30,19,0.3,0.0054696789536266355
0.2,30,30,20,0.26666666666666666,0.0038049940546967895
0.2,30,30,21,0.3,0.004994054696789537
0.2,30,30,22,0.3,0.0053111375346809354
0.2,30,30,23,0.3,0.005628220372572335
0.2,30,30,24,0.26666666666666666,0.005945303210463734
0.2,30,30,25,0.3,0.006183115338882283
0.2,30,30,26,0.23333333333333334,0.0034086405073325407
0.2,30,30,27,0.36666666666666664,0.0047562425683709865
0.2,30,30,28,0.36666666666666664,0.003012286959968292
0.2,30,30,29,0.3333333333333333,0.007055093143083631
0.2,50,5,0,0.1,0.017551020408163264
0.2,50,5,1,0.1,0.01326530612244898
0.2,50,5,2,0.08,0.007959183673469388
0.2,50,5,3,0.12,0.014693877551020407
0.2,50,5,4,0.12,0.018775510204081632
0.2,50,5,5,0.12,0.01489795918367347
0.2,50,5,6,0.14,0.03142857142857143
